,subcategoria,descricao_subcategoria,categoria,descricao_categoria,capitulo,descricao_capitulo,causa_violencia,causa_overdose
31,A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0
32,A051,Botulismo,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0
33,A053,Intoxicação alimentar devida a Vibrio parahemolyticus,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0
34,A058,Outras intoxicações alimentares bacterianas especificadas,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0
35,A059,Intoxicação alimentar bacteriana não especificada,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I,Algumas doenças infecciosas e parasitárias,0,0
36,A060,Disenteria amebiana aguda,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
37,A061,Amebíase intestinal crônica,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
38,A066,Abscesso amebiano do cérebro,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
39,A062,Colite amebiana não-disentérica,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
40,A064,Abscesso amebiano do fígado,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
41,A069,Amebíase não especificada,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
42,A063,Ameboma intestinal,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
43,A068,Infecção amebiana de outras localizações,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
44,A067,Amebíase cutânea,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
45,A065,Abscesso amebiano do pulmão,A06,Amebíase,I,Algumas doenças infecciosas e parasitárias,0,0
46,A073,Isosporíase,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0
47,A072,Criptosporidiose,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0
48,A070,Balantidíase,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0
49,A079,Doença intestinal não especificada por protozoários,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0
50,A078,Outras doenças intestinais especificadas por protozoários,A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0
51,A071,Giardíase [lamblíase],A07,Outras doenças intestinais por protozoários,I,Algumas doenças infecciosas e parasitárias,0,0
52,A082,Enterite por adenovírus,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0
53,A083,Outras enterites virais,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0
54,A084,Infecção intestinal devida a vírus não especificado,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0
55,A081,Gastroenteropatia aguda pelo agente de Norwalk,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0
56,A080,Enterite por rotavírus,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0
57,A085,Outras infecções intestinais especificadas,A08,"Infecções intestinais virais, outras e as não especificadas",I,Algumas doenças infecciosas e parasitárias,0,0
58,A09,Diarréia e gastroenterite de origem infecciosa presumível,A09,Diarréia e gastroenterite de origem infecciosa presumível,I,Algumas doenças infecciosas e parasitárias,0,0
59,A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
60,A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
61,A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
62,A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
63,A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
64,A153,"Tuberculose pulmonar, com confirmação por meio não especificado",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
65,A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
66,A151,"Tuberculose pulmonar, com confirmação somente por cultura",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
67,A152,"Tuberculose pulmonar, com confirmação histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
68,A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I,Algumas doenças infecciosas e parasitárias,0,0
69,A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
70,A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
71,A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
72,A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
73,A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
74,A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
75,A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
76,A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
77,A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I,Algumas doenças infecciosas e parasitárias,0,0
78,A170,Meningite tuberculosa,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0
79,A179,Tuberculose não especificada do sistema nervoso,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0
80,A171,Tuberculoma meníngeo,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0
81,A178,Outras tuberculoses do sistema nervoso,A17,Tuberculose do sistema nervoso,I,Algumas doenças infecciosas e parasitárias,0,0
82,A184,Tuberculose de pele e do tecido celular subcutâneo,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
83,A185,Tuberculose do olho,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
84,A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
85,A181,Tuberculose do aparelho geniturinário,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
86,A182,Linfadenopatia tuberculosa periférica,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
87,A186,Tuberculose do ouvido,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
88,A187,Tuberculose das supra-renais,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
89,A180,Tuberculose óssea e das articulações,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
90,A188,Tuberculose de outros órgãos especificados,A18,Tuberculose de outros órgãos,I,Algumas doenças infecciosas e parasitárias,0,0
91,A199,Tuberculose miliar não especificada,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0
92,A190,Tuberculose miliar aguda de localização única e especificada,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0
93,A198,Outras tuberculoses miliares,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0
94,A191,Tuberculose miliar aguda de múltiplas localizações,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0
95,A192,Tuberculose miliar aguda não especificada,A19,Tuberculose miliar,I,Algumas doenças infecciosas e parasitárias,0,0
96,A203,Peste meníngea,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0
97,A208,Outras formas de peste,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0
98,A201,Peste celulocutânea,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0
99,A207,Peste septicêmica,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0
100,A209,"Peste, forma não especificada",A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0
101,A202,Peste pneumônica,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0
102,A200,Peste bubônica,A20,Peste,I,Algumas doenças infecciosas e parasitárias,0,0
103,A219,"Tularemia, forma não especificada",A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0
104,A217,Tularemia generalizada,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0
105,A210,Tularemia ulceroglandular,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0
106,A211,Tularemia oculoglandular,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0
107,A218,Outras formas de tularemia,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0
108,A213,Tularemia gastrointestinal,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0
109,A212,Tularemia pulmonar,A21,Tularemia,I,Algumas doenças infecciosas e parasitárias,0,0
110,A220,Carbúnculo cutâneo,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0
111,A228,Outras formas de carbúnculo,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0
112,A221,Carbúnculo pulmonar,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0
113,A229,"Carbúnculo, forma não especificada",A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0
114,A222,Carbúnculo gastrointestinal,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0
115,A227,Septicemia carbunculosa,A22,Carbúnculo,I,Algumas doenças infecciosas e parasitárias,0,0
116,A231,Brucelose por Brucella abortus,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0
117,A230,Brucelose por Brucella melitensis,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0
118,A233,Brucelose por Brucella canis,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0
119,A238,Outras bruceloses,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0
120,A239,Brucelose não especificada,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0
121,A232,Brucelose por Brucella suis,A23,Brucelose,I,Algumas doenças infecciosas e parasitárias,0,0
122,A244,Melioidose não especificada,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0
123,A240,Mormo,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0
124,A242,Melioidose subaguda e crônica,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0
125,A241,Melioidose aguda e fulminante,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0
126,A243,Outras melioidoses,A24,Mormo e melioidose,I,Algumas doenças infecciosas e parasitárias,0,0
127,A259,"Febre transmitida por mordedura de rato, tipo não especificado",A25,Febres transmitidas por mordedura de rato,I,Algumas doenças infecciosas e parasitárias,0,0
128,A250,Espirilose,A25,Febres transmitidas por mordedura de rato,I,Algumas doenças infecciosas e parasitárias,0,0
129,A251,Estreptobacilose,A25,Febres transmitidas por mordedura de rato,I,Algumas doenças infecciosas e parasitárias,0,0
130,A267,Septicemia por Erysipelothrix,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0
131,A269,Erisipelóide não especificado,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0
132,A268,Outras formas de erisipelóide,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0
133,A260,Erisipelóide cutâneo,A26,Erisipelóide,I,Algumas doenças infecciosas e parasitárias,0,0
134,A278,Outras formas de leptospirose,A27,Leptospirose,I,Algumas doenças infecciosas e parasitárias,0,0
135,A279,Leptospirose não especificada,A27,Leptospirose,I,Algumas doenças infecciosas e parasitárias,0,0
136,A270,Leptopirose icterohemorrágica,A27,Leptospirose,I,Algumas doenças infecciosas e parasitárias,0,0
137,A280,Pasteurelose,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
138,A282,Yersiniose extra-intestinal,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
139,A289,Doença bacteriana zoonótica não especificada,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
140,A281,Doença por arranhadura do gato,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
141,A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
142,A305,Hanseníase [lepra] lepromatosa,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
143,A304,Hanseníase [lepra] lepromatosa borderline,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
144,A301,Hanseníase [lepra] tuberculóide,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
145,A308,Outras formas de hanseníase [lepra],A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
146,A303,Hanseníase [lepra] dimorfa,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
147,A309,Hanseníase [lepra] não especificada,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
148,A302,Hanseníase [lepra] tuberculóide borderline,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
149,A300,Hanseníase [lepra] indeterminada,A30,Hanseníase [doença de Hansen] [lepra],I,Algumas doenças infecciosas e parasitárias,0,0
150,A319,Infecção micobacteriana não especificada,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0
151,A318,Outras infecções micobacterianas,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0
152,A310,Infecção pulmonar micobacteriana,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0
153,A311,Infecção cutânea micobacteriana,A31,Infecções devidas a outras micobactérias,I,Algumas doenças infecciosas e parasitárias,0,0
154,A321,Meningite e meningoencefalite por listéria,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0
155,A329,Listeriose não especificada,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0
156,A327,Septicemia listeriótica,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0
157,A328,Outras formas de listeriose,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0
158,A320,Listeriose cutânea,A32,Listeriose [listeríase],I,Algumas doenças infecciosas e parasitárias,0,0
159,A33,Tétano do recém-nascido [neonatal],A33,Tétano do recém-nascido [neonatal],I,Algumas doenças infecciosas e parasitárias,0,0
160,A34,Tétano obstétrico,A34,Tétano obstétrico,I,Algumas doenças infecciosas e parasitárias,0,0
161,A35,Outros tipos de tétano,A35,Outros tipos de tétano,I,Algumas doenças infecciosas e parasitárias,0,0
162,A363,Difteria cutânea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0
163,A369,Difteria não especificada,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0
164,A361,Difteria nasofaríngea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0
165,A360,Difteria faríngea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0
166,A362,Difteria laríngea,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0
167,A368,Outras formas de difteria,A36,Difteria,I,Algumas doenças infecciosas e parasitárias,0,0
168,A379,Coqueluche não especificada,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0
169,A370,Coqueluche por Bordetella pertussis,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0
170,A378,Coqueluche por outras espécies da Bordetella,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0
171,A371,Coqueluche por Bordetella parapertussis,A37,Coqueluche,I,Algumas doenças infecciosas e parasitárias,0,0
172,A38,Escarlatina,A38,Escarlatina,I,Algumas doenças infecciosas e parasitárias,0,0
173,A399,Infecção meningocócica não especificada,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
174,A393,Meningococcemia crônica,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
175,A395,Cardite por meningococos,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
176,A398,Outras infecções por meningococos,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
177,A394,Meningococcemia não especificada,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
178,A391,Síndrome de Waterhouse-Friderichsen,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
179,A390,Meningite meningocócica,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
180,A392,Meningococcemia aguda,A39,Infecção meningogócica,I,Algumas doenças infecciosas e parasitárias,0,0
181,A400,Septicemia por Streptococcus do grupo A,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0
182,A409,Septicemia estreptocócica não especificada,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0
183,A408,Outras septicemias estreptocócicas,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0
184,A402,Septicemia por Streptococcus do grupo D,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0
185,A401,Septicemia por Streptococcus do grupo B,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0
186,A403,Septicemia por Streptococcus pneumonia,A40,Septicemia estreptocócica,I,Algumas doenças infecciosas e parasitárias,0,0
187,A415,Septicemia por outros microorganismos gram-negativos,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
188,A414,Septicemia por anaeróbios,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
189,A419,Septicemia não especificada,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
190,A411,Septicemia por outros estafilococos especificados,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
191,A413,Septicemia por Haemophilus influenzae,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
192,A418,Outras septicemias especificadas,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
193,A410,Septicemia por Staphylococcus aureus,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
194,A412,Septicemia por estafilococos não especificados,A41,Outras septicemias,I,Algumas doenças infecciosas e parasitárias,0,0
195,A429,Actinomicose não especificada,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0
196,A427,Septicemia actinomicótica,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0
197,A422,Actinomicose cervicofacial,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0
198,A428,Outras formas de actinomicose,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0
199,A421,Actinomicose abdominal,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0
200,A420,Actinomicose pulmonar,A42,Actinomicose,I,Algumas doenças infecciosas e parasitárias,0,0
201,A430,Nocardiose pulmonar,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0
202,A438,Outras formas de nocardiose,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0
203,A439,Nocardiose não especificada,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0
204,A431,Nocardiose cutânea,A43,Nocardiose,I,Algumas doenças infecciosas e parasitárias,0,0
205,A448,Outras formas de bartonelose,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0
206,A441,Bartonelose cutânea e cutâneo-mucosa,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0
207,A449,Bartonelose não especificada,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0
208,A440,Bartonelose sistêmica,A44,Bartonelose,I,Algumas doenças infecciosas e parasitárias,0,0
209,A46,Erisipela,A46,Erisipela,I,Algumas doenças infecciosas e parasitárias,0,0
210,A482,Doença dos legionários não-pneumônica [febre de Pontiac],A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
211,A483,Síndrome do choque tóxico,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
212,A481,Doença dos legionários,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
213,A488,Outras doenças bacterianas especificadas,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
214,A484,Febre purpúrica do Brasil,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
215,A480,Gangrena gasosa,A48,Outras doenças bacterianas não classificadas em outra parte,I,Algumas doenças infecciosas e parasitárias,0,0
216,A490,Infecção estafilocócica de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0
217,A492,Infecção por Haemophilus influenzae de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0
218,A491,Infecção estreptocócica de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0
219,A493,Infecção por Mycoplasma de localização não especificada,A49,Infecção bacteriana de localização não especificada,I,Algumas doenças infecciosas e parasitárias,0,0
